set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,reduced_cost,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units,rc_capex_equivalent_per_kw_eff
HDT_BET,power,IE,0,megatkm / hour,2.8318696350336023,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,IT,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,LT,0,megatkm / hour,12.126796582281006,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,LU,0,megatkm / hour,0.0,0.0,0.0,9.54432630695095,9.54432630695095,20.240194174594194
HDT_BET,power,LV,0,megatkm / hour,3.4256487520567944,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,NL,0,megatkm / hour,15.598120651031858,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,NO,0,megatkm / hour,4.9100965446147145,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,PL,0,megatkm / hour,0.0,0.0,0.0,25.614158568890844,25.614158568890844,54.31871526391861
HDT_BET,power,PT,0,megatkm / hour,7.079674087584004,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,RO,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,SE,0,megatkm / hour,9.728842455841246,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,SI,0,megatkm / hour,0.0,0.0,0.0,27.11970134057276,27.11970134057276,57.51144747539026
HDT_BET,power,SK,0,megatkm / hour,7.741966179648317,0.0,0.0,0.0,0.0,0.0
HDT_BET,power,UK,0,megatkm / hour,36.72295462204865,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,AT,0,megatkm / hour,6.029141803619927,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,BE,0,megatkm / hour,7.9475051047717695,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,BG,0,megatkm / hour,4.7045576194913075,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,CH,0,megatkm / hour,2.8318696350336023,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,CZ,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,DE,0,megatkm / hour,71.23065638443406,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,DK,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,EE,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,EL,0,megatkm / hour,6.44021965386674,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,ES,0,megatkm / hour,57.00279523422511,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,FI,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,FR,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,HR,0,megatkm / hour,2.854707293380648,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,HU,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,IE,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,IT,0,megatkm / hour,31.515968518922502,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,LT,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,LU,0,megatkm / hour,1.6899867176813437,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,LV,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,NL,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,NO,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,PL,0,megatkm / hour,79.70342763118815,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,PT,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,RO,0,megatkm / hour,13.93097159169756,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,SE,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,SI,0,megatkm / hour,5.48103800329086,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,SK,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_FCEV,power,UK,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,AT,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,BE,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,BG,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,CH,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,CZ,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,DE,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,DK,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,EE,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,EL,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,ES,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,FI,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,FR,0,megatkm / hour,0.0,0.0,0.0,24.650388394508212,24.650388394508212,52.27489416624926
HDT_diesel,power,HR,0,megatkm / hour,0.0,0.0,0.0,83.34379564177755,83.34379564177755,176.7431825763063
HDT_diesel,power,HU,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,IE,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,IT,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,LT,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,LU,0,megatkm / hour,0.0,0.0,0.0,86.02597705613832,86.02597705613832,182.4311558173943
HDT_diesel,power,LV,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,NL,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,NO,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,PL,0,megatkm / hour,-4.518037674372233e-13,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,PT,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,RO,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,SE,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,SI,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,SK,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
HDT_diesel,power,UK,0,megatkm / hour,0.0,0.0,0.0,0.0,0.0,0.0
ICE_diesel,power,AT,0,megapkm / hour,0.0,0.0,0.0,779.0501067777905,779.0501067777905,1779.2112261303464
ICE_diesel,power,BE,0,megapkm / hour,0.0,0.0,0.0,582.01257940508,582.01257940508,1318.8142215761702
ICE_diesel,power,BG,0,megapkm / hour,0.0,0.0,0.0,853.8818770223934,853.8818770223934,1815.1180886934235
ICE_diesel,power,CH,0,megapkm / hour,0.0,0.0,0.0,686.0039363818951,686.0039363818951,1533.7346750215277
ICE_diesel,power,CZ,0,megapkm / hour,0.0,0.0,0.0,585.9616368196394,585.9616368196394,1306.4414691501422
ICE_diesel,power,DE,0,megapkm / hour,0.0,0.0,0.0,595.8127993051603,595.8127993051603,1345.570810268849
ICE_diesel,power,DK,0,megapkm / hour,0.0,0.0,0.0,751.2002153814401,751.2002153814401,1682.3504680866806
ICE_diesel,power,EE,0,megapkm / hour,0.0,0.0,0.0,791.4382475389457,791.4382475389457,1800.9799634839023
